ID,Data,Latitude,Longitude,Velocidade_Vento,Pressao_Atmosferica,Nivel_Mare,Chuva_Acumulada,Hora,Intensidade_Ciclone,Ocorrencia_Sobrelevacao
1,2000-01-01,-15.81456946518687,39.036217965253385,167.34038420828819,1007.9009215963773,4.098684768437308,149.90107311871603,23,3,1
2,2000-01-02,-13.221785621155377,39.78008838314823,55.51079509471406,953.5504674547298,0.9401791337126515,224.02403175377827,7,5,0
3,2000-01-03,-14.206027261848677,36.502807392754995,220.0127223883815,981.4874380570518,1.8328139629955644,168.80003419689993,20,4,1
4,2000-01-04,-14.806036821113334,38.74924459764199,159.08231618127175,941.0467617161623,4.755236405635879,24.990774933538916,18,1,1
5,2000-01-05,-16.797916118009034,38.43047589886249,51.94291263588425,968.2048408559414,3.4077721952335085,55.67407103506662,22,5,1
6,2000-01-06,-16.798024658487087,39.996982260729624,241.1494435080836,927.6806312389566,5.603829839828746,65.79845520927574,0,4,0
7,2000-01-07,-17.238623745243103,40.436522362887565,136.81588388380035,922.1622627699624,2.8581327458774486,77.35927609345346,7,1,0
8,2000-01-08,-13.602207344012792,35.07294062886432,32.13113618983893,960.952170063732,5.283968011976577,169.6210175851513,9,3,1
9,2000-01-09,-14.79498244715556,39.04411951435276,162.3057325375408,949.7381543857573,2.969254906130306,151.18973394761804,12,3,1
10,2000-01-10,-14.313673399917796,35.311014794718375,74.5017431480104,961.1350916809973,5.885865532860919,60.94801150926268,4,1,0
11,2000-01-11,-17.40736977566889,38.29315199046414,203.86796119116607,920.1324813801832,5.779089097693822,20.26645303670612,21,5,0
12,2000-01-12,-13.135405665271026,36.72579637426207,207.1881872880548,931.3740964543794,2.3102518805584418,51.42966134241542,8,1,0
13,2000-01-13,-13.754008116398103,36.84065959713285,245.05262862584553,891.7457144880473,5.372580187292417,295.314393785581,9,1,1
14,2000-01-14,-16.54447400194776,37.11775102071414,132.93933979075837,887.3186921181089,5.161862558186071,140.5640849374417,13,3,0
15,2000-01-15,-16.681787647568047,38.72775469429766,121.91486673601823,915.4839981542223,1.6587421853015956,260.20365141063377,23,3,0
16,2000-01-16,-16.674679705659546,37.00429979401262,192.06676727992294,890.3945603062764,3.933597204307983,254.625740000653,10,3,0
17,2000-01-17,-16.13090990668208,39.396194303541684,46.13060424035274,894.5284592088638,0.8997527357439817,153.4558672388621,13,4,0
18,2000-01-18,-15.13859605765493,37.42716431344322,143.5251457413842,993.8099767551512,5.101908963209039,212.00631253816306,2,4,1
19,2000-01-19,-15.556247416110478,35.41011920185975,143.36818603074997,885.4423175823365,1.460002359269231,57.825603123813686,20,2,0
20,2000-01-20,-16.18946886910881,39.70255905490464,36.026183860440995,972.251991150864,0.8894808576217048,206.51901147807249,15,4,0
21,2000-01-21,-14.746661973749292,36.714549947556236,113.22626009412468,918.158084834156,2.7012050254634614,81.71537377898686,19,5,0
22,2000-01-22,-16.872277627065813,37.596601277595575,215.52192766329247,1002.0163952991377,3.673071762298039,249.61862902624523,16,5,0
23,2000-01-23,-16.185349081591518,39.11266329933141,216.19610116874517,947.8989198408499,5.202043272078741,25.117239932672973,4,3,0
24,2000-01-24,-15.851371705178387,36.994736942892274,38.32085125612504,922.7807043058956,5.8583338903695505,231.94160186558324,6,1,0
25,2000-01-25,-15.447685071023338,35.339513936880294,36.319407445740254,952.4694509965209,2.9172088191342502,29.98107197058586,16,3,0
26,2000-01-26,-13.966708173731439,37.24352628207688,76.7334370954548,933.4741226663376,0.8324580764189862,264.3567710682927,19,1,1
27,2000-01-27,-16.60146798028738,40.66669149616582,220.57002470018847,959.0021490537763,4.620135684642289,91.26135544050112,21,3,0
28,2000-01-28,-15.185945027138748,38.85040638379135,45.29210749227225,896.0346015656887,3.608452909231656,196.31800944917242,10,3,1
29,2000-01-29,-14.83413444012081,39.028874892003245,184.19924861744988,1019.5786703937572,2.9634023966445473,146.25068358608394,11,5,0
30,2000-01-30,-17.29097314276001,38.79369292182584,38.773920609079255,939.5778228775405,2.200978833357043,109.8909435787017,23,1,0
31,2000-01-31,-14.766048166443527,36.19395283375662,161.43739563073896,928.7522895590316,3.2631919031394463,193.63254995504894,1,2,0
32,2000-02-01,-16.73264144340719,37.51000318461368,98.67581529299903,979.4293787642771,2.36273782451367,284.25689416537136,18,2,0
33,2000-02-02,-17.20726783156624,39.50563879017991,200.39478129697875,930.9459169093466,4.663565272610482,12.380924212386557,4,3,0
34,2000-02-03,-13.230015082360001,35.60823738531896,69.91725547396044,996.6584027040261,3.491415330709526,275.6558567649313,10,3,0
35,2000-02-04,-13.154655851164483,36.667116656538276,165.21242990664055,943.5979014104595,5.322662757847616,182.72449650630406,22,5,0
36,2000-02-05,-13.862211933475924,36.65791465079512,70.38539562533296,980.7381778571608,3.4894915305719314,242.1942902307157,18,1,0
37,2000-02-06,-16.129238038719834,37.59211356556703,182.71016653135615,895.0434503018641,1.8104432733696152,115.16248603028328,6,3,0
38,2000-02-07,-17.060475486971274,40.88221244565311,220.31433812177596,998.4566859777157,5.181005352276795,141.55289245128412,20,2,0
39,2000-02-08,-14.420951380695294,35.40501528010293,44.79842279478861,983.0005181489354,3.5647047471152415,260.6552255403492,21,1,0
40,2000-02-09,-15.519313778171794,38.11220596628357,218.64998681994334,909.6403489846751,1.637625709789587,124.45439094294693,5,3,1
41,2000-02-10,-16.950827943198494,36.07618809207326,154.49018478736002,900.3400413644101,3.9292929547592217,160.3978700247255,10,1,0
42,2000-02-11,-15.271703904499283,40.82405927245846,44.870965353750634,924.2809288215874,2.4674422071833515,6.058476925299871,13,5,1
43,2000-02-12,-17.345251654981517,35.679821028364785,115.47233600953233,1016.6498820444666,5.144230867606362,47.57940175141269,3,2,0
44,2000-02-13,-13.40805819064548,37.42160601416955,52.802168968998004,915.9564204393882,2.9931485625559855,192.50595239243992,7,1,1
45,2000-02-14,-16.335490082799925,39.42730990900764,179.58175388364384,943.8578092525287,4.495427469590792,215.09307031916313,8,2,0
46,2000-02-15,-14.518649720407081,39.22732656816467,193.33401158821817,884.2028316004271,1.0254491419993044,174.78028103534982,1,3,1
47,2000-02-16,-16.09730015759765,37.536371821363595,39.86218226410776,935.6118541392725,2.678133904662904,42.9930108826832,10,4,0
48,2000-02-17,-15.159693904699852,37.079145007716306,133.94286538324144,959.9848021606344,5.907827900598193,133.62162857335045,19,1,0
49,2000-02-18,-15.039803742955241,37.38567427131722,206.43688816609054,1013.4374457511151,4.946531592124316,106.52842990895695,21,2,0
50,2000-02-19,-16.66815495013513,36.58565757895184,234.99831476448418,952.343046291609,1.3796744130181076,148.6984032105265,6,1,0
51,2000-02-20,-13.136869175059488,36.2319976322408,135.67669868431597,994.6750256648763,2.0277022721249027,261.09871036622826,3,3,1
52,2000-02-21,-14.011902294874984,37.89823818535334,238.31561754868065,956.5978699596461,2.313986948709986,232.75843159759557,23,3,0
53,2000-02-22,-13.272254762961149,36.61120253640564,140.886908057167,885.7099018809726,4.077010582724951,25.196850416747687,13,2,0
54,2000-02-23,-13.47327692307558,36.7247699893835,107.63476623097837,924.1011585265684,4.663471177193106,267.09275933236927,23,5,0
55,2000-02-24,-14.809450095350117,38.94053638084734,214.32773520993044,960.5769310963544,4.6223963484435036,141.53014534494707,0,1,0
56,2000-02-25,-13.351565942395975,40.81122399019935,130.85093695765093,1013.0831552303574,3.3043073096852154,223.15864346579954,23,1,0
57,2000-02-26,-17.10178374076636,38.62182320335625,125.89708998266292,1000.2782503651727,4.959512958109832,42.01176937930564,11,3,0
58,2000-02-27,-16.618077119113845,35.461876802389796,130.22343501130965,911.9697859850387,2.903929455166113,201.21585771211443,18,1,0
59,2000-02-28,-17.29647719990258,35.4535016831244,213.99447543939016,910.8153762026828,1.1813431091255904,70.89780528283738,4,2,0
60,2000-02-29,-16.03601351156531,40.708539325073396,210.50626229669226,908.1642153959461,3.604430129095973,131.51426914227946,7,4,0
61,2000-03-01,-15.75095219639733,36.783744741844004,109.82719822344963,1009.1498454823504,5.7376576153060865,5.058861024631323,10,3,0
62,2000-03-02,-16.278929357017468,35.55240191649485,93.32546706957338,999.3732614342409,4.861465082658812,45.48319137914281,21,4,0
63,2000-03-03,-13.770681208816317,38.59426752290229,130.60308564919538,988.4836805154129,3.6828535623073333,27.62414793708593,3,1,0
64,2000-03-04,-15.894610029878848,38.741892669741596,149.60153978822063,934.9829159913919,4.057431131920033,71.92325188147754,14,5,0
65,2000-03-05,-16.235794706406786,38.89102892071213,71.00924449757929,950.6132986018274,5.618091148695649,30.00542700729668,19,2,1
66,2000-03-06,-15.057867625787882,36.60441216714525,201.5794449081638,945.0064442713214,2.8558853693922828,207.57300798586857,11,1,1
67,2000-03-07,-16.865840987613566,35.09066410528685,129.32344994711937,915.4757350583121,2.3226677641845055,8.711970662765811,19,2,1
68,2000-03-08,-13.890113586606821,40.79009221672683,93.5007038786905,950.7039264608273,5.87482860750247,185.3221501874994,21,1,0
69,2000-03-09,-17.16452210344103,36.505358274146616,40.102933346537796,884.2695166993856,5.248937234306834,42.21234924767228,22,1,1
70,2000-03-10,-13.059008785297673,39.056157728315284,71.12861269484762,898.4534522896442,2.276739715402313,283.5484371533691,20,1,0
71,2000-03-11,-14.024898538165042,39.23977921927226,238.08107536265618,1004.1225434636525,3.0507932854850752,279.92822193295626,9,3,0
72,2000-03-12,-16.605779433096224,38.660044502476914,86.69842640258875,985.2351673843992,2.782929709542895,67.65093075628879,23,4,0
73,2000-03-13,-17.47515047294379,36.87744436528189,54.6819330012533,939.2015772682722,1.3200262326928867,184.32638946690884,15,5,1
74,2000-03-14,-13.830423571953247,36.6265775225844,123.2581060389234,952.4010507197428,5.768006280972925,8.40159584173753,22,4,1
